$ICAO,$Registration,sigh,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3
C82793,ZK-INT,True,Private,Airbus Helicopters As 350 B3E,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/46916_1618176298.jpg,https://cdn.jetphotos.com/full/6/75006_1558074402.jpg,
C818CE,ZK-INZ,True,Private,Mcdonnell Douglas Helicopter Company 369E,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C827CE,ZK-IOC,True,Private,Eurocopter Ec 120 B,EC20,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/79280_1562558065.jpg,,
C8225D,ZK-IOI,True,Private,Bell Helicopter Co 206B (Iii),B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C827FF,ZK-IOJ,True,Private,Airbus Helicopters Inc. As350B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/14888_1567410986.jpg,https://cdn.jetphotos.com/full/6/43049_1567319269.jpg,https://cdn.jetphotos.com/full/6/31140_1542514862.jpg
C80A7A,ZK-IOP,True,Private,Eurocopter As350B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/52836_1627005794.jpg,,
C80F32,ZK-IOR,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/74660_1661134906.jpg,https://cdn.jetphotos.com/full/5/46538_1550890821.jpg,
C828DA,ZK-IOX,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C8280B,ZK-IPE,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/27402_1563238984.jpg,,
C821B1,ZK-IPG,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C81E9E,ZK-IPH,True,Private,Mcdonnell Douglas Helicopter Company 369D,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C81E0E,ZK-IPR,True,Private,Mcdonnell Douglas Helicopter Company 520N,MD52,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C81AD8,ZK-IQT,True,Private,Eurocopter Ec 120 B,EC20,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/27229_1603957373.jpg,https://cdn.jetphotos.com/full/2/16960_1302065853.jpg,https://cdn.jetphotos.com/full/2/28829_1189240871.jpg
C8228E,ZK-IRC,True,Private,Bell Helicopter Co 206B,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C82829,ZK-IRE,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C819E3,ZK-IRM,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/47830_1515633928.jpg,https://cdn.jetphotos.com/full/1/54003_1271508521.jpg,
C820E4,ZK-ISO,True,Private,Mcdonnell Douglas Helicopter Company 520N,MD52,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C81C72,ZK-ISR,True,Private,Agusta Aerospace Corporation A119,A119,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/85901_1606551251.jpg,https://cdn.jetphotos.com/full/5/91793_1601708386.jpg,
C81600,ZK-ISW,True,Private,Bell Helicopter Textron 206B,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C82197,ZK-ITD,True,Private,Eurocopter As.350B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/49595_1574480550.jpg,,
C827BA,ZK-ITG,True,Private,Kawasaki Heavy Industries Bk117 B-2,BK17,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/97354_1616213632.jpg,https://cdn.jetphotos.com/full/6/37411_1600577677.jpg,
C82518,ZK-ITJ,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/48714_1612516518.jpg,,
C820C3,ZK-ITL,True,Private,Bell Helicopter Textron Canada Limited 206L-4,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/99489_1572230502.jpg,https://cdn.jetphotos.com/full/5/91629_1529045127.jpg,
C82141,ZK-ITM,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/46520_1650721362.jpg,https://cdn.jetphotos.com/full/5/64241_1640675898.jpg,https://cdn.jetphotos.com/full/6/23895_1585533309.jpg
C8282C,ZK-ITN,True,Private,Bell Helicopter Co 206B,B06,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C818C5,ZK-ITX,True,Private,Mcdonnell Douglas Helicopter Company 520N,MD52,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/2/73269_1115142820.jpg,,
